k;h;VC
1;1;2
1;2;3
1;3;4
1;4;5
1;5;5
1;6;5
1;7;7
1;8;7
2;1;3
2;2;6
2;3;8
2;4;9
2;5;11
2;6;12
2;7;13
2;8;14
3;1;4
3;2;8
3;3;11
3;4;14
3;5;17
3;6;22
3;7;27
3;8;29
4;1;5
4;2;9
4;3;14
4;4;18
4;5;25
4;6;30
4;7;40
4;8;48
5;1;6
5;2;11
5;3;15
5;4;24
5;5;32
5;6;43
5;7;55
5;8;64
